Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian
Mccullen Pond Dam,Bass Lake Dam,,NC04131,,NC04131,Carl (Richard) Landes,Private,Private,0,No,,,Recreation,Recreation,North Carolina,SAMPS-013,35.012,-78.334,North Carolina,Sampson,Clinton,,Old Mill Branch-Tr,"North Carolina, Congressional District 03",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,15,18,18,Less than 25 feet,425,,,Undetermined,,50,50,42,7,,,,,,,,,,,2023-09-25,2012-06-07,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,Coharie SDTSA
Rowland Lake Dam,,,NC01013,,NC01013,City of Henderson,Local Government,Local Government,0,No,,,Water Supply,Water Supply,North Carolina,VANCE-002,36.309,-78.363,North Carolina,Vance,Weldons Mill,3,Sandy Branch,"North Carolina, Congressional District 01",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,20,20,20,Less than 25 feet,150,,1900,1900-1909,,240,240,200,,,495,,,,,,,,,2023-09-25,1993-05-11,,Low,,,Not Required,,https://damsafety.org/north-carolina,,,No,
Saint Andrews College Lake Dam,,,NC01088,,NC01088,St Andrews Presby. College,Private,Private,0,No,,,Recreation,Recreation,North Carolina,SCOTL-014,34.74,-79.478,North Carolina,Scotland,West Laurinburg,,Bridge Creek,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,18,22,22,Less than 25 feet,755,,1960,1960-1969,,648,648,540,65,4288,66,,,,,,,,,2023-09-25,2009-03-18,,Low,,,No,,https://damsafety.org/north-carolina,,,No,Lumbee SDTSA
Lopp Lake Dam,,,NC02185,,NC02185,J.B. Lopp,Private,Private,0,No,USDA NRCS,,Recreation,Recreation,North Carolina,DAVID-037,35.66694,-80.15194,North Carolina,Davidson,Badin,15,Flat Swamp Creek,"North Carolina, Congressional District 08",No,No,,No,No,No,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,18,22,22,Less than 25 feet,370,,1983,1980-1989,,229,229,131,22,285,712,,,,,,,,,2023-09-25,2015-01-27,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Cowans Ford                                                      ,Lake Norman,,NC05064,,NC05064,Duke Energy,Public Utility,Public Utility,2,No,DUKE POWER COMPANY,No,Hydroelectric,Hydroelectric;Recreation;Water Supply,Federal Energy Regulatory Commission,02232-07-01,35.435,-80.957732,North Carolina,Mecklenburg,Mount Holly                                       ,16,Catawba River                 ,"North Carolina, Congressional District 12",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Concrete,Concrete;Earth,Concrete,Rock,134,105,130,134,Greater than 100 feet,8738,,1963,1960-1969,,414100,414100,414100,32510,1790,225612,Controlled,465,,,,,,Tainter (radial)11,2023-04-12,2022-06-07,1,High,Satisfactory,2023-04-11,Yes,2022-12-22,https://www.ferc.gov/dam-safety-and-inspections,Normal Operations,2023-04-11,No,
Lake Kristi Dam,,,NC03695,,NC03695,"Grimesland Plantation, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,PITT-008,35.5652,-77.1581,North Carolina,Pitt,Washington,12,Juniper Branch,"North Carolina, Congressional District 01",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,14,21,21,Less than 25 feet,1355,,1982,1980-1989,2003,151,151,102,18.4,637,0,,,,,,,,,2023-09-25,2008-02-21,,Significant,,,No,,https://damsafety.org/north-carolina,,,No,
Murray Corriher Dam #3,,,NC04971,,NC04971,Murray A Corriher,Private,Private,0,No,USDA NRCS,,Irrigation,Irrigation,North Carolina,ROWAN-058,35.5708,-80.6599,North Carolina,Rowan,Kannapolis,6,Irish Buffalo Creek,"North Carolina, Congressional District 08",No,No,,No,No,No,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,31,35,35,25-50 feet,380,,1986,1980-1989,,42.7,42.7,27.6,3.2,42,109,,,,,,,,,2023-09-25,2021-12-15,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Lake Meredith Dam,Wisdom Tooth Dam,,NC05963,,NC05963,,Not Listed,Not Listed,0,No,,,Fish and Wildlife Pond,Fish and Wildlife Pond;Recreation,North Carolina,MOORE-196,35.3013,-79.4622,North Carolina,Moore,,,Wads Creek,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,18,20,20,Less than 25 feet,681,,,Undetermined,,166,166,166,20.8,0,0,,,,,,,,,2023-09-25,2011-04-12,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Whiteside Lake Dam,,,NC00267,,NC00267,"Whitesides Estates, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,JACKS-031,35.113,-83.153,North Carolina,Jackson,Norton,2,Grassy Camp Creek,"North Carolina, Congressional District 11",No,No,,No,No,No,No,,,,,,,,,No,N/A,Concrete,Concrete;Arch,,,,,13,13,Less than 25 feet,324,,1949,1940-1949,,70,70,57,18.5,,,,,,,,,,,2023-09-25,2004-09-09,,Significant,,,No,,https://damsafety.org/north-carolina,,,No,
Leggett Lake Dam,,,NC01177,,NC01177,"Camp4Heroes, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,ROBES-006,34.4589,-79.0893,North Carolina,Robeson,Nichols,19,Hog Swamp,"North Carolina, Congressional District 07",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,8,10,10,Less than 25 feet,592,,1935,1930-1939,,112,112,93,8,384,26,,,,,,,,,2023-09-25,2008-04-01,,Low,,,No,,https://damsafety.org/north-carolina,,,No,Lumbee SDTSA
