Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian
Nc Hwy 11-903 Dam,,,NC05975,,NC05975,Daniel B Bell,Private,Private,0,No,,,Fish and Wildlife Pond,Fish and Wildlife Pond,North Carolina,DUPLI-032,35.006,-77.9107,North Carolina,Duplin,,,,"North Carolina, Congressional District 03",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,2019-09-06,,High,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Summit Camp Dam Lower,Lake Julia Dam,,NC00203,,NC00203,NC Department of Agriculture & Consumer Services,State,State,0,No,,,Recreation,Recreation,North Carolina,TRANS-021,35.1812,-82.6083,North Carolina,Transylvania,Little River,6,Reasonover Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,30,30,25-50 feet,12000,,,Undetermined,,1584,1584,1320,,,,,,,,,,,,2023-09-25,2015-02-11,,Significant,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Research Lake Dam #2,,,NC00465,,NC00465,NC State University Sandhills Research Station,State,State,0,No,,,Irrigation,Irrigation,North Carolina,MONTG-009,35.189,-79.69,North Carolina,Montgomery,Norman,1,Naked Creek,"North Carolina, Congressional District 08",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,23,29,29,25-50 feet,570,,1966,1960-1969,,106,106,88,9,,178,,,,,,,,,2023-09-25,2022-03-31,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Hanging Rock State Park Dam,,,NC00342,,NC00342,NC Department of Parks and Recreation,State,State,0,No,,,Recreation,Recreation,North Carolina,STOKE-016,36.3924,-80.2691,North Carolina,Stokes,Moores Springs,3,Cascade Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Gravity,,,,33,38,38,25-50 feet,190,,1938,1930-1939,,290,290,140,11.9,454,1855,,,,,,,,,2023-09-25,2021-03-10,,High,Fair,,Yes,2015-04-01,https://damsafety.org/north-carolina,,,No,
Occoneechee Upper Dam,,,NC05776,,NC05776,NC Department of Parks and Recreation,State,State,0,No,,,Recreation,Recreation,North Carolina,ORANG-055,36.06,-79.1147,North Carolina,Orange,,0,UT to Eno River,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,2022-02-21,,High,Satisfactory,,Yes,2016-01-01,https://damsafety.org/north-carolina,,,No,
Caraway Lake Dam #2,,,NC01650,,NC01650,"Baptist State Convention of NC, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,RANDO-073,35.765,-79.898,North Carolina,Randolph,Farmer,12,Caraway Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,28,35,35,25-50 feet,228,,,Undetermined,,99,99,80,7,,,,,,,,,,,2023-09-25,2023-02-23,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Underwood Pond Dam,,,NC05218,,NC05218,NC Department of Transportation,State,State,0,No,,,Recreation,Recreation,North Carolina,WAKE-369,35.5736,-78.8375,North Carolina,Wake,,,,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,15,17,17,Less than 25 feet,440,,,Undetermined,,27,27,,4,90,,,,,,,,,,2023-09-25,2022-02-01,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Lower Zoo Dam,,,NC05150,,NC05150,NC Zoological Authority,State,State,0,No,,,Irrigation,Irrigation;Recreation,North Carolina,RANDO-193,35.6183,-79.7528,North Carolina,Randolph,,,Panther Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,16,22,22,Less than 25 feet,860,,1978,1970-1979,,137,137,65,10,,,,,,,,,,,2023-09-25,2023-02-23,,High,Fair,,Yes,2015-01-01,https://damsafety.org/north-carolina,,,No,
Umstead Park Lake Dam #1,Big Lake Dam,,NC00881,,NC00881,NC Department of Parks and Recreation,State,State,0,No,,,Recreation,Recreation,North Carolina,WAKE-054,35.87,-78.7623,North Carolina,Wake,Raleigh,6,Sycamore Creek,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,18,30,30,25-50 feet,410,,1940,1940-1949,,432,432,360,25,4550,165,,,,,,,,,2023-09-25,2022-12-28,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Bridford Apartments Dam,,,NC05694,,NC05694,PRCP-NC Greensboro LLC,Private,Private,0,No,,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,GUILF-316,36.0422,-79.9046,North Carolina,Guilford,,,UT to Bull Run,"North Carolina, Congressional District 06",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,15,20,20,Less than 25 feet,300,,1997,1990-1999,,24,24,12,2,146,989,,,,,,,,,2023-09-25,2023-02-09,,High,Fair,,Yes,1997-11-26,https://damsafety.org/north-carolina,,,No,
South Mountain State Park Dam,Broughton Hospital Dam,,NC00092,,NC00092,NC Department of Parks and Recreation,State,State,0,No,,,Recreation,Recreation,North Carolina,BURKE-003,35.6406,-81.7515,North Carolina,Burke,Morganton,10,Clear Creek,"North Carolina, Congressional District 10",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,39,57,57,51-100 feet,1500,,1950,1950-1959,2007,610,610,198,13,1561,8296,,,,,,,,,2023-09-25,2022-11-17,,High,Fair,,Yes,2016-01-01,https://damsafety.org/north-carolina,,,No,
Fowler Lake Dam #1,,,NC01533,,NC01533,AMH NC Properties. LLP,Private,Private,0,No,,,Recreation,Recreation,North Carolina,FORSY-150,36.1581,-80.3574,North Carolina,Forsyth,Pfafftown,1,Muddy Creek-Tr,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,24,30,30,25-50 feet,280,,,Undetermined,,40,40,19.2,2,50,0,,,,,,,,,2023-09-25,2021-03-02,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Watson Lake Dam #2,Lake Dornoch Dam,,NC03570,,NC03570,Country Club of NC,Private,Private,0,No,,,Recreation,Recreation,North Carolina,MOORE-121,35.1541,-79.4363,North Carolina,Moore,,,Aberdeen Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,11,18,18,Less than 25 feet,950,,,Undetermined,,252,252,196,35,6750,,,,,,,,,,2023-09-25,2023-01-24,,High,Fair,,Yes,2022-05-01,https://damsafety.org/north-carolina,,,No,
Upper Zoo Dam,,,NC05226,,NC05226,NC Zoological Authority,State,State,0,No,,,Recreation,Recreation,North Carolina,RANDO-191,35.62667,-79.76444,North Carolina,Randolph,,,Panther Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,22,28,28,25-50 feet,560,,1992,1990-1999,,143,143,113,12.8,146,410,,,,,,,,,2023-09-25,2020-03-17,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Highland Orchard Dam,,,NC06188,,NC06188,"Southern Land NC, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,YADKI-345,36.174,-80.834,North Carolina,Yadkin,,,,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,2023-01-31,,High,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Faggart Dam,,,NC05089,,NC05089,"Southern Hills NC, LLC",Private,Private,0,No,,,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond;Recreation",North Carolina,CABAR-063,35.34778,-80.53028,North Carolina,Cabarrus,Locust,12,Cold Water Creek,"North Carolina, Congressional District 08",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,13,14,14,Less than 25 feet,145,,,Undetermined,,4.2,4.2,3.8,0.75,8,,,,,,,,,,2023-09-25,2022-01-05,,High,Fair,,Yes,2021-08-01,https://damsafety.org/north-carolina,,,No,
Millstone 4-H Camp Dam,,,NC05379,,NC05379,NC Wildlife Resources Commission,State,State,0,No,,,Recreation,Recreation,North Carolina,RICHM-052,35.05528,-79.68917,North Carolina,Richmond,,,Millstone Lake,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,11,16,16,Less than 25 feet,0,,,Undetermined,,38,38,26,6,0,0,,,,,,,,,2023-09-25,2023-01-17,,High,Fair,,Yes,2022-08-01,https://damsafety.org/north-carolina,,,No,
Dupont Lake Dam,Dera Dam,,NC00382,,NC00382,NC Department of Agriculture & Consumer Services,State,State,0,No,USDA NRCS,,Recreation,Recreation,North Carolina,TRANS-017,35.1869,-82.6217,North Carolina,Transylvania,Little River,4,Little River,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,24,30,30,25-50 feet,715,,,Undetermined,,202,202,125,13,,,,,,,,,,,2023-09-25,2023-02-08,,Significant,Fair,,Yes,2015-12-01,https://damsafety.org/north-carolina,,,No,
Reedy Creek Lake Dam,,,NC00842,,NC00842,NC Department of Parks and Recreation,State,State,0,No,,,Recreation,Recreation;Water Supply,North Carolina,WAKE-014,35.84,-78.745,North Carolina,Wake,Raleigh,3,Crabtree Creek-Tr,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,27,32,32,25-50 feet,330,,1955,1950-1959,,96,96,80,7.5,2844,205,,,,,,,,,2023-09-25,2020-08-14,,Low,Satisfactory,,Not Required,,https://damsafety.org/north-carolina,,,No,
Lake Plaza Dam,,,NC05133,,NC05133,"RL 14 NC, LP",Private,Private,0,No,,,Recreation,Recreation,North Carolina,WAKE-360,35.8638,-78.6233,North Carolina,Wake,,,Big Branch,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,13,17,17,Less than 25 feet,300,,,Undetermined,,18.4,18.4,10.4,2,,,,,,,,,,,2023-09-25,2023-03-01,,High,Satisfactory,,Yes,2021-05-01,https://damsafety.org/north-carolina,,,No,
Forest Lake Dam,,,NC00136,,NC00136,NC Department of Transportation,State,State,0,No,,,Recreation,Recreation,North Carolina,RUTHE-008,35.364,-81.8757,North Carolina,Rutherford,Bostic,3,UT to 2nd Broad River,"North Carolina, Congressional District 10",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,34,38,38,25-50 feet,475,,1963,1960-1969,,200,200,160,10,,,,,,,,,,,2023-09-25,2021-04-05,,Significant,Unsatisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Ross Creek Dam,,,NC01918,,NC01918,NC Department of Transportation,State,State,0,No,,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,BUNCO-054,35.596,-82.531,North Carolina,Buncombe,,,Ross Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Rockfill,Rockfill,,,,,28,28,25-50 feet,153,,,Undetermined,,15,15,,3.5,0,,,,,,,,,,2023-09-25,2009-05-18,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Morganton Watershed Dam,,,NC01288,,NC01288,NC Department of Parks and Recreation,State,State,0,No,,,Water Supply,Water Supply,North Carolina,BURKE-009,35.6231,-81.7046,North Carolina,Burke,Morganton,10,Henry River,"North Carolina, Congressional District 10",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Gravity,,,,,31,31,25-50 feet,140,,1939,1930-1939,,150,150,,24,3392,431,,,,,,,,,2023-09-25,2023-03-01,,High,Fair,,Yes,2016-01-01,https://damsafety.org/north-carolina,,,No,
Summit Camp Dam Upper,Fawn Dam,,NC01381,,NC01381,NC Department of Agriculture & Consumer Services,State,State,0,No,,,Recreation,Recreation,North Carolina,TRANS-022,35.1654,-82.609,North Carolina,Transylvania,Little River,7,Reasonover Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,30,30,25-50 feet,0,,1979,1970-1979,,90,90,,7.5,,,,,,,,,,,2023-09-25,2023-03-15,,Low,Poor,,No,,https://damsafety.org/north-carolina,,,No,
Mount Pleasant Fishing Lake Dam,,,NC00105,,NC00105,NC Department of Transportation,State,State,0,No,,,Recreation,Recreation,North Carolina,CLEVE-019,35.2287,-81.7329,North Carolina,Cleveland,"Cherokee Falls, SC",15.6,Broad River,"North Carolina, Congressional District 10",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,19,26,26,25-50 feet,350,,1958,1950-1959,,146,146,36,4.8,324,93,,,,,,,,,2023-09-25,2020-10-28,,Significant,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Camp Tekoa Dam,,,NC03047,,NC03047,Western NC Conference United Methodist Church,Private,Private,0,No,,,Recreation,Recreation,North Carolina,HENDE-075,35.26114,-82.50716,North Carolina,Henderson,,,Mud Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,22,24,24,Less than 25 feet,125,,,Undetermined,,24,24,21,2.5,,,,,,,,,,,2023-09-25,2022-08-30,,Significant,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Lake Hazel Dam,,,NC00565,,NC00565,NC Cooperative Extension Service,State,State,0,No,,,Recreation,Recreation,North Carolina,ROCKI-017,36.393,-79.709,North Carolina,Rockingham,Reidsville,4,Carroll Creek,"North Carolina, Congressional District 06",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,15,22,22,Less than 25 feet,150,,1962,1960-1969,,195,195,136,22,1926,165,,,,,,,,,2023-09-25,2020-12-22,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Lake Rim Dam,,,NC00028,,NC00028,NC Wildlife Resources Commission,State,State,0,No,,,Other,Other;Recreation,North Carolina,CUMBE-012,35.0312,-79.0412,North Carolina,Cumberland,Hope Mills,6,Bones Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,16,20,20,Less than 25 feet,487,,1920,1920-1929,1992,272,272,256,35,12800,119,,,,,,,,,2023-09-25,2023-03-28,,High,Fair,,Yes,2022-12-01,https://damsafety.org/north-carolina,,,No,Lumbee SDTSA
Baucom Lake Dam,,,NC03459,,NC03459,"Real Estate of NC, Inc.",Private,Private,0,No,,,Irrigation,Irrigation;Recreation,North Carolina,MECKL-092,35.2846,-80.7205,North Carolina,Mecklenburg,,,Back Creek,"North Carolina, Congressional District 12",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,16,20,20,Less than 25 feet,550,,1980,1980-1989,1986,48,48,0,6,0,0,,,,,,,,,2023-09-25,2023-03-08,,High,Fair,,Yes,2004-04-14,https://damsafety.org/north-carolina,,,No,
Lake Butner Dam,,,NC01008,,NC01008,NC Department of Agriculture,State,State,0,No,,,Recreation,Recreation;Water Supply,North Carolina,GRANV-008,36.1671,-78.7725,North Carolina,Granville,,0,Knap of Reeds Creek,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,67,80,80,51-100 feet,550,,,Undetermined,,10800,10800,9000,340,18350,38000,,,,,,,,,2023-09-25,2023-02-28,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Broyhill Baptist Children'S Home Pond Dam,,,NC01271,,NC01271,"Baptist Children's Homes of NC, Inc.",Private,Private,0,No,USDA NRCS,,Recreation,Recreation,North Carolina,HAYWO-008,35.5154,-82.9356,North Carolina,Haywood,Waynesville,4,Pigeon River,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,28,33,33,25-50 feet,370,,,Undetermined,2007,36,36,26,2,51,361,,,,,,,,,2023-09-25,2018-01-24,,High,Fair,,Yes,2013-11-26,https://damsafety.org/north-carolina,,,No,
Beaverdam Creek Lake Dam,,,NC01445,,NC01445,NC Department of Natural and Cultural Resources,State,State,0,No,,,Recreation,Recreation,North Carolina,WAKE-081,36.025,-78.688,North Carolina,Wake,Falls,12,Beaverdam Creek,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,29,40,40,25-50 feet,1086,,1974,1970-1979,,33300,33300,0,0,33542,0,,,,,,,,,2023-09-25,2023-02-27,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Pine Lake Dam,Mcqueen Lake Dam,,NC01085,,NC01085,NC Department of Transportation,State,State,0,No,,,Recreation,Recreation,North Carolina,SCOTL-011,34.974,-79.575,North Carolina,Scotland,Hamlet,9,Gum Swamp Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,15,18,18,Less than 25 feet,920,,1952,1950-1959,,137,137,114,19,1158,40,,,,,,,,,2023-09-25,2022-12-14,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,Lumbee SDTSA
Rhodes Pond Dam,,,NC01145,,NC01145,NC Wildlife Resources Commission,State,State,,No,,,Recreation,Recreation,North Carolina,CUMBE-053,35.2258,-78.6528,North Carolina,Cumberland,Falcon,7,Black River,"North Carolina, Congressional District 07",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,,7,15,15,Less than 25 feet,3300,,1770,Before 1900,2011,2304,2304,1920,120,38400,594,,,,,,,,,2023-09-25,2023-07-25,,High,Satisfactory,,Yes,2023-05-01,https://damsafety.org/north-carolina,,,No,Coharie SDTSA
Umstead Park Lake Dam #2,Sycamore Dam,,NC00882,,NC00882,NC Department of Parks and Recreation,State,State,0,No,,,Recreation,Recreation,North Carolina,WAKE-055,35.8631,-78.7522,North Carolina,Wake,Raleigh,5,Sycamore Creek,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,33,45,45,25-50 feet,345,,1955,1950-1959,,144,144,120,55,6080,198,,,,,,,,,2023-09-25,2022-12-28,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Art Museum Dam,,,NC05026,,NC05026,NC Department of Natural and Cultural Resources,State,State,0,No,,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,WAKE-366,35.80883,-78.7,North Carolina,Wake,Raleigh,0,House Creek,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,15,15,Less than 25 feet,0,,,Undetermined,,10,10,,,,,,,,,,,,,2023-09-25,2023-03-10,,High,Fair,,Yes,2022-02-01,https://damsafety.org/north-carolina,,,No,
Occoneechee Lower Dam,,,NC05777,,NC05777,NC Department of Parks and Recreation,State,State,0,No,,,Recreation,Recreation,North Carolina,ORANG-056,36.0599,-79.1136,North Carolina,Orange,,0,UT to Eno River,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,11,12,12,Less than 25 feet,125,,,Undetermined,,5,5,4,0.8,53,,,,,,,,,,2023-09-25,2022-02-21,,High,Satisfactory,,Yes,2015-04-01,https://damsafety.org/north-carolina,,,No,
Revelles Pond Dam Upper,Spring Lake Drive Dam,,NC03081,,NC03081,NC Department of Parks and Recreation,Private,Private,0,No,USDA NRCS,,Recreation,Recreation,North Carolina,HERTF-006,36.4343,-77.1048,North Carolina,Hertford,,,College Branch,"North Carolina, Congressional District 01",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,33,18,33,25-50 feet,200,,,Undetermined,,30,30,24,4,161,,,,,,,,,,2023-09-25,2022-03-16,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Broughton Farm Pond #2 Dam,,,NC01948,,NC01948,NC Wildlife Resources Commission,State,State,0,No,,,Recreation,Recreation,North Carolina,BURKE-021,35.6755,-81.6843,North Carolina,Burke,,,Hunting Creek,"North Carolina, Congressional District 10",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,24,28,28,25-50 feet,500,,,Undetermined,,29,29,,,,,,,,,,,,,2023-09-25,2022-11-17,,Low,Poor,,No,,https://damsafety.org/north-carolina,,,No,
Nc Farm Dam,,,NC05167,,NC05167,NG Purvis Farms,Private,Private,,No,,,Irrigation,Irrigation;Recreation,North Carolina,WARRE-002,36.4923,-78.1558,North Carolina,Warren,,,Sawmill Branch,"North Carolina, Congressional District 01",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,19,25,25,25-50 feet,785,,,Undetermined,,44,44,0,4,0,0,,,,,,,,,2023-09-25,2018-11-20,,Low,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Highland Orchards Dam,,,NC06187,,NC06187,"Southern Land NC, LLC",Private,Private,0,No,,,Fish and Wildlife Pond,Fish and Wildlife Pond;Other;Recreation,North Carolina,YADKI-344,36.181,-80.8357,North Carolina,Yadkin,,,UT to Arnolds Branch,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,17,25,25,25-50 feet,360,,2018,Since 2000,,50,50,,5,265,,,,,,,,,,2023-09-25,2023-01-31,,High,Fair,,Yes,2018-02-01,https://damsafety.org/north-carolina,,,No,
Cliffs of Neuse State Park Dam,,,NC04669,,NC04669,NC Department of Parks and Recreation,State,State,0,No,,,Recreation,Recreation,North Carolina,WAYNE-023,35.2365,-77.885,North Carolina,Wayne,Seven Springs,2,Mill Creek,"North Carolina, Congressional District 03",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,23,37,37,25-50 feet,160,,1951,1950-1959,,125,125,78,8.5,196,,,,,,,,,,2023-09-25,2022-02-01,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Moore'S Dam,,,NC01911,,NC01911,"Rufus Holdings NC, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,BUNCO-041,35.54047,-82.41252,North Carolina,Buncombe,Fairview,2,Cane Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,27,30,30,25-50 feet,350,,,Undetermined,,24,24,18,2,,,,,,,,,,,2023-09-25,2022-03-29,,High,Satisfactory,,Yes,2020-11-25,https://damsafety.org/north-carolina,,,No,
Watson Lake Dam #1,,,NC00067,,NC00067,Country Club of NC,Private,Private,0,No,,,Recreation,Recreation,North Carolina,MOORE-052,35.1657,-79.4346,North Carolina,Moore,Aberdeen,2,Aberdeen Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,21,25,25,25-50 feet,459,,1928,1920-1929,,579,579,389,62,5757,100,,,,,,,,,2023-09-25,2023-01-24,,High,Fair,,Yes,2022-05-01,https://damsafety.org/north-carolina,,,No,
