GEOID,E_TOTPOP,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
37017950502,3400,0.5705,0.6225,0.4823,0.4491,0.5674
37017950601,2207,0.8932,0.6641,0.7965,0.7486,0.8583
37017950602,1894,0.8826,0.5676,0.9573,0.4139,0.7595
37019020101,2683,0.9644,0.5661,0.8591,0.7353,0.8867
37019020102,6393,0.4352,0.3715,0.3055,0.6153,0.4598
37019020105,6207,0.1295,0.3552,0.3036,0.1776,0.142
37019020106,2866,0.2432,0.6959,0.199,0.3275,0.3333
37019020107,3425,0.5841,0.1541,0.5529,0.4646,0.447
37019020108,3313,0.4871,0.3817,0.6356,0.6346,0.5568
37019020201,6459,0.65,0.3389,0.4766,0.3726,0.4939
37019020203,2144,0.4023,0.1613,0.2421,0.1189,0.1761
37019020204,6729,0.5523,0.4165,0.1242,0.6535,0.5189
37019020205,8868,0.0761,0.0984,0.1926,0.6168,0.1519
37019020206,1925,0.3697,0.1704,0.4301,0.5089,0.3481
37019020304,9654,0.2352,0.2609,0.085,0.1049,0.1152
37019020305,2917,0.389,0.1905,0.4003,0.1931,0.2413
37019020306,2119,0.2973,0.1549,0.1076,0.7221,0.328
37019020307,138,0.0038,0.1424,0.0038,0.2726,0.0428
37019020308,2377,0.0705,0.0541,0.0819,0.053,0.0152
37019020311,2796,0.1261,0.1477,0.1681,0.0754,0.058
37019020312,1204,0.2636,0.1848,0.114,0.0723,0.097
37019020313,2599,0.1799,0.34,0.0068,0.0496,0.0727
37019020314,390,0.008,0.1318,0.1435,0.0757,0.0178
37019020315,2075,0.3917,0.2991,0.0068,0.7705,0.4409
37019020316,787,0.1216,0.0625,0.077,0.2821,0.0811
37019020404,3122,0.4371,0.4881,0.2912,0.4513,0.4383
37019020405,3356,0.7231,0.1871,0.0264,0.4358,0.439
37019020406,997,0.0913,0.109,0.0068,0.0594,0.0277
37019020407,1720,0.6322,0.4926,0.0234,0.1068,0.3163
37019020408,3026,0.8466,0.8906,0.5831,0.348,0.7553
37019020409,1792,0.7205,0.554,0.014,0.2908,0.4848
37019020504,2132,0.0898,0.078,0.2017,0.0549,0.0303
37019020505,3076,0.4875,0.5733,0.6057,0.32,0.4845
37019020508,2868,0.0519,0.1439,0.179,0.1693,0.0602
37019020510,3056,0.3898,0.1946,0.0506,0.181,0.1902
37019020511,2265,0.1943,0.5062,0.0721,0.2011,0.1856
37019020512,1027,0.1492,0.2363,0.0102,0.1462,0.0939
37019020513,1286,0.3345,0.78,0.2326,0.8058,0.6064
37019020514,2867,0.2561,0.3881,0.0106,0.1507,0.1606
37019020515,4461,0.1117,0.1564,0.2791,0.1587,0.0902
37019020516,4514,0.2848,0.2669,0.0465,0.3412,0.2201
37019020517,2938,0.5409,0.2484,0.1752,0.4782,0.4117
37019020518,3297,0.1269,0.4025,0.0736,0.5354,0.2379
37019020601,4393,0.5746,0.5233,0.5903,0.9746,0.7655
37019020602,5990,0.4947,0.2196,0.469,0.3533,0.378
37019020603,3470,0.6996,0.1443,0.4505,0.4813,0.4913
37021000100,1317,0.9125,0.4926,0.5434,0.9038,0.8557
37021000200,1352,0.6076,0.2567,0.557,0.8523,0.6481
37021000300,2387,0.7042,0.0284,0.4241,0.8413,0.514
37021000400,3988,0.664,0.0928,0.2832,0.7505,0.5133
37021000500,3681,0.097,0.3476,0.179,0.1144,0.0932
37021000600,1818,0.4879,0.0553,0.0699,0.3775,0.2386
37021000700,1519,0.5879,0.0458,0.5306,0.7842,0.4894
37021000800,3455,0.2864,0.2143,0.4879,0.4563,0.3057
37021000900,2971,0.8871,0.3737,0.6998,0.9898,0.8936
37021001000,4952,0.6,0.471,0.2998,0.5396,0.55
37021001100,5583,0.3008,0.0852,0.2878,0.2813,0.1727
37021001200,4818,0.2455,0.0417,0.0627,0.5138,0.1568
37021001300,4461,0.822,0.6857,0.3255,0.9069,0.8174
37021001401,4166,0.7966,0.2696,0.5884,0.9992,0.8621
37021001402,3020,0.825,0.9243,0.7141,0.4877,0.8083
37021001500,2911,0.7924,0.276,0.2236,0.379,0.5254
37021001601,4448,0.1201,0.134,0.1884,0.2923,0.1144
37021001602,3481,0.3439,0.4835,0.1662,0.8061,0.5091
37021001700,2983,0.0735,0.1988,0.1526,0.2628,0.1
37021001801,3389,0.4795,0.4366,0.369,0.6403,0.528
37021001802,5295,0.2322,0.4441,0.1582,0.8951,0.4712
37021001900,4032,0.3432,0.2147,0.0914,0.2579,0.211
37021002000,7026,0.8633,0.7217,0.5189,0.8754,0.864
37021002101,1654,0.0235,0.2934,0.0223,0.0083,0.0095
37021002102,5367,0.7928,0.8167,0.5627,0.8247,0.8364
37021002203,5959,0.9455,0.9538,0.6952,0.9708,0.9803
37021002204,9317,0.3443,0.4555,0.1276,0.719,0.4534
37021002205,7041,0.2413,0.6392,0.244,0.4642,0.3731
37021002206,5112,0.139,0.4006,0.1125,0.9341,0.4182
37021002303,6807,0.1561,0.5536,0.3017,0.5388,0.3292
37021002304,1524,0.2886,0.3207,0.364,0.2143,0.2341
37021002305,5570,0.333,0.0795,0.0449,0.4479,0.2076
37021002306,4042,0.3292,0.3646,0.2017,0.4366,0.3288
37021002401,3248,0.6807,0.9413,0.3493,0.6395,0.7549
37021002402,5483,0.6049,0.7406,0.2281,0.9065,0.7371
37021002503,4845,0.6595,0.6763,0.179,0.5873,0.6326
37021002504,5176,0.2814,0.7319,0.085,0.5381,0.4288
37021002505,6532,0.4538,0.1927,0.1952,0.5441,0.3735
37021002506,3653,0.8455,0.4945,0.3176,0.4548,0.653
37021002603,3577,0.7598,0.7179,0.1039,0.6819,0.7011
37021002604,6053,0.4587,0.156,0.0657,0.7009,0.4004
37021002606,6327,0.4705,0.8891,0.3229,0.7342,0.6852
37021002607,4227,0.5712,0.2351,0.1341,0.6191,0.4591
37021002608,4559,0.5102,0.0909,0.3089,0.9012,0.5186
37021002609,2360,0.8924,0.7471,0.3924,0.5759,0.7811
37021002701,3981,0.2591,0.2389,0.2957,0.7531,0.386
37021002702,5237,0.1542,0.4252,0.0593,0.7952,0.3549
37021002704,4868,0.2799,0.5718,0.1446,0.2753,0.2894
37021002705,1213,0.0208,0.0954,0.0042,0.1655,0.0307
37021002803,5419,0.7496,0.8266,0.386,0.8323,0.8034
37021002804,5134,0.2019,0.2775,0.0465,0.5358,0.2443
37021002900,4143,0.275,0.7599,0.114,0.0871,0.2284
37021003002,8923,0.5087,0.7493,0.173,0.8512,0.6807
37021003003,5558,0.3742,0.0882,0.3894,0.5502,0.3121
37021003004,2828,0.0867,0.028,0.0483,0.2075,0.0341
37021003103,2056,0.5341,0.3298,0.0181,0.1102,0.2352
37021003105,3284,0.3602,0.2613,0.1752,0.7766,0.4424
37021003106,1356,0.0879,0.3309,0.1567,0.2844,0.1318
37021003107,4047,0.1765,0.0981,0.0721,0.3321,0.1208
37021003108,2163,0.4208,0.4744,0.037,0.9406,0.592
37021003201,1792,0.1538,0.2075,0.0412,0.1643,0.0989
37021003202,3664,0.1462,0.1166,0.0532,0.1795,0.0799
37021003203,6349,0.4121,0.3294,0.3089,0.6691,0.4576
37021003204,4621,0.2205,0.2635,0.0506,0.2571,0.1644
37021003205,1327,0.5417,0.3938,0.0819,0.588,0.4731
37023020100,4394,0.8909,0.3571,0.0876,0.649,0.683
37023020202,4434,0.4549,0.7463,0.3539,0.7967,0.6598
37023020203,2723,0.5398,0.3889,0.1012,0.329,0.3792
37023020204,2653,0.5023,0.0568,0.2825,0.1166,0.1652
37023020301,5484,0.7258,0.6683,0.2594,0.5025,0.6439
37023020303,4828,0.1307,0.4158,0.1752,0.4786,0.2398
37023020304,2427,0.5652,0.2438,0.0234,0.1863,0.2705
37023020500,2621,0.6326,0.9871,0.6824,0.8088,0.8674
37023020600,6064,0.8144,0.9951,0.6915,0.9947,0.9818
37023020801,5968,0.5121,0.4722,0.0736,0.7039,0.5303
37023020802,2998,0.472,0.766,0.3678,0.6066,0.608
37023020901,3375,0.1447,0.3362,0.0378,0.535,0.2239
37023020902,3410,0.2663,0.3995,0.1503,0.2136,0.2106
37023021000,4767,0.6473,0.6694,0.219,0.7361,0.6754
37023021100,6308,0.2303,0.6638,0.1582,0.5505,0.3951
37023021201,4022,0.4856,0.2548,0.0944,0.1632,0.2432
37023021202,4280,0.4341,0.3491,0.173,0.8213,0.5258
37023021203,3300,0.667,0.3582,0.2088,0.2681,0.4265
37023021301,5605,0.8129,0.4373,0.4079,0.9076,0.7731
37023021302,3474,0.7905,0.2033,0.2247,0.6119,0.5799
37023021400,4664,0.9246,0.9943,0.6265,0.9792,0.9875
37025040501,10189,0.5345,0.6717,0.8225,0.4956,0.6398
37025040502,6199,0.4356,0.6278,0.3807,0.1973,0.3841
37025040600,5250,0.2083,0.3234,0.199,0.0746,0.1098
37025040701,2124,0.9292,0.5176,0.6756,0.2533,0.6966
37025040703,2849,0.9307,0.953,0.8063,0.9508,0.9761
37025040704,3756,0.525,0.9224,0.5869,0.763,0.7545
37025040705,3877,0.3492,0.0488,0.6775,0.3696,0.2504
37025040800,4113,0.8117,0.8671,0.7149,0.1405,0.6667
37025040900,2189,0.3701,0.6808,0.5585,0.4192,0.4932
37025041001,2455,0.4227,0.5218,0.5287,0.3018,0.4208
37025041002,2985,0.9674,0.7137,0.7594,0.9769,0.9633
37025041100,6022,0.2466,0.1397,0.3512,0.1435,0.1364
37025041201,2964,0.5966,0.0943,0.4109,0.6505,0.458
37025041202,6948,0.1485,0.2692,0.4958,0.8311,0.3886
37025041301,8134,0.1182,0.1431,0.5804,0.131,0.1019
37025041304,8678,0.1011,0.3684,0.656,0.0148,0.0667
37025041305,2857,0.0708,0.5789,0.4909,0.0223,0.0803
37025041306,5329,0.1814,0.1484,0.7277,0.2018,0.1746
37025041307,8340,0.0822,0.2639,0.6903,0.203,0.1473
37025041503,6268,0.1258,0.4082,0.6801,0.07,0.1326
37025041504,4115,0.0432,0.1723,0.5759,0.0072,0.0231
37025041505,8608,0.0326,0.2007,0.6647,0,0.0189
37025041506,5637,0.0856,0.3343,0.5631,0.0454,0.0784
37025041507,3933,0.1159,0.0454,0.1628,0.1723,0.0542
37025041602,4066,0.5027,0.8186,0.3478,0.2847,0.5182
37025041603,4748,0.1458,0.1844,0.443,0.0568,0.0746
37025041604,4306,0.05,0.0371,0.0302,0.3449,0.0481
37025041701,3971,0.2955,0.2794,0.244,0.6611,0.3682
37025041702,3473,0.3932,0.273,0.114,0.3222,0.2795
37025041901,2859,0.9269,0.9716,0.8614,0.9197,0.9765
37025041902,3221,0.8648,0.4097,0.591,0.7872,0.7754
37025042000,6404,0.8136,0.7232,0.6337,0.8406,0.8333
37025042101,3788,0.9761,0.5748,0.9819,0.9515,0.9545
37025042102,3922,0.5761,0.8637,0.5264,0.3885,0.642
37025042201,2952,0.5564,0.2177,0.48,0.8429,0.5962
37025042202,4327,0.3871,0.4483,0.3346,0.3949,0.389
37025042300,4222,0.4966,0.8504,0.463,0.8561,0.736
37025042401,4385,0.2572,0.5081,0.3784,0.8171,0.503
37025042402,6030,0.8432,0.7728,0.9075,0.9939,0.953
37025042501,4677,0.4152,0.2916,0.5245,0.3771,0.3807
37025042502,2496,0.2807,0.3514,0.5381,0.7251,0.4538
37025042503,5303,0.2852,0.1193,0.5642,0.518,0.2962
37025042504,1484,0.0269,0.0632,0.5034,0.1231,0.0398
37025042601,6480,0.1981,0.1499,0.4241,0.5657,0.2598
